ListID,ItemNumb,OG1,OG2,OG3,OG4,Change1,Change2,Change3,Change4,ChangeType1,ChangeType2,ChangeType3,ChangeType4
3,10,PCYL.png,CMYM.png,SBRM.png,SHPS.png,PCYM.png,CMRM.png,SBRM.png,SMPS.png,Size,Color,NoChange,Texture
3,11,PMPL.png,LBBT.png,LHYM.png,PMRL.png,PMBL.png,CBBT.png,LBYM.png,PMRL.png,Color,Shape,Texture,NoChange
3,12,SCYM.png,CHRM.png,CMBT.png,SHYS.png,SCYT.png,CHRM.png,SMBT.png,SHYL.png,Size,NoChange,Shape,Size
3,13,PCBT.png,SBPL.png,PMBS.png,LBRM.png,PCBT.png,SBYL.png,PBBS.png,PBRM.png,NoChange,Color,Texture,Shape
3,14,LCYL.png,SHBL.png,PBBM.png,PHBL.png,LCPL.png,SHBL.png,PBYM.png,PCBL.png,Color,NoChange,Color,Texture
3,15,CMPL.png,CCRT.png,SHRT.png,SMPM.png,CMPL.png,CCRM.png,SHPT.png,PMPM.png,NoChange,Size,Color,Shape
3,16,PBPS.png,PHPM.png,SCRL.png,LBPL.png,PBPS.png,PBPM.png,PCRL.png,LBPS.png,NoChange,Texture,Shape,Size
4,1,CCPT.png,SMBM.png,LBYS.png,CBRL.png,CCBT.png,SMBS.png,LBYS.png,CBPL.png,Color,Size,NoChange,Color
4,2,PHYT.png,PBRT.png,CMRT.png,LHBS.png,PHYT.png,PHRT.png,LMRT.png,LMBS.png,NoChange,Texture,Shape,Texture
4,3,SCPT.png,LHRT.png,SCBT.png,CBPS.png,SCPT.png,LHRL.png,SCYT.png,CHPS.png,NoChange,Size,Color,Texture
4,4,LCPS.png,SMYL.png,LMYT.png,CCBM.png,CCPS.png,SMYL.png,LMBT.png,CCBS.png,Shape,NoChange,Color,Size
4,5,CHYL.png,LCRL.png,SBBS.png,PMYM.png,SHYL.png,LCRL.png,CBBS.png,PBYM.png,Shape,NoChange,Shape,Texture
4,6,CBBL.png,LMPM.png,SMRS.png,PCPT.png,CBBL.png,PMPM.png,SMPS.png,PCPM.png,NoChange,Shape,Color,Size
4,7,LHPT.png,CHBS.png,CMYT.png,PBYS.png,LHPT.png,CMBS.png,CMRT.png,PBYL.png,NoChange,Texture,Color,Size
4,8,PHRM.png,LMBM.png,LCBL.png,CHPM.png,LHRM.png,LMBM.png,LHBL.png,CHPL.png,Shape,NoChange,Texture,Size
4,9,SBYT.png,PCRS.png,CCYS.png,LMRS.png,SMYT.png,PCRT.png,CCYS.png,LMYS.png,Texture,Size,NoChange,Color
4,10,PCYL.png,CMYM.png,SBRM.png,SHPS.png,PMYL.png,SMYM.png,SBRM.png,SHRS.png,Texture,Shape,NoChange,Color
4,11,PMPL.png,LBBT.png,LHYM.png,PMRL.png,SMPL.png,LBBL.png,LHBM.png,PMRL.png,Shape,Size,Color,NoChange
4,12,SCYM.png,CHRM.png,CMBT.png,SHYS.png,SBYM.png,CHRM.png,CMBM.png,SCYS.png,Texture,NoChange,Size,Texture
4,13,PCBT.png,SBPL.png,PMBS.png,LBRM.png,PCBT.png,PBPL.png,PMRS.png,LBRT.png,NoChange,Shape,Color,Size
4,14,LCYL.png,SHBL.png,PBBM.png,PHBL.png,PCYL.png,SHBL.png,CBBM.png,PHPL.png,Shape,NoChange,Shape,Color
4,15,CMPL.png,CCRT.png,SHRT.png,SMPM.png,CMPL.png,CBRT.png,CHRT.png,SMPT.png,NoChange,Texture,Shape,Size
4,16,PBPS.png,PHPM.png,SCRL.png,LBPL.png,PBPS.png,PHYM.png,SCRS.png,LCPL.png,NoChange,Color,Size,Texture
