ItemNumb,ListID,BlockID,Shape,Texture,Color,Size,OGItemID,OGFile,ChangeType,Change,ChangeItemID,ChangeFile
34,2,9,Pyramid,Chalky,Red,Small,PyramidChalkyRedSmall,PCRS.png,Color,Yellow,PyramidChalkyYellowSmall,PCYS.png
35,2,9,Cube,Chalky,Yellow,Small,CubeChalkyYellowSmall,CCYS.png,NoChange,NoChange,CubeChalkyYellowSmall,CCYS.png
36,2,9,Cylinder,Metallic,Red,Small,CylinderMetallicRedSmall,LMRS.png,Size,Large,CylinderMetallicRedLarge,LMRL.png
37,2,10,Pyramid,Chalky,Yellow,Large,PyramidChalkyYellowLarge,PCYL.png,Shape,Sphere,SphereChalkyYellowLarge,SCYL.png
38,2,10,Cube,Metallic,Yellow,Medium,CubeMetallicYellowMedium,CMYM.png,Texture,Chalky,CubeChalkyYellowMedium,CCYM.png
39,2,10,Sphere,Bumpy,Red,Medium,SphereBumpyRedMedium,SBRM.png,NoChange,NoChange,SphereBumpyRedMedium,SBRM.png
40,2,10,Sphere,Hairy,Purple,Small,SphereHairyPurpleSmall,SHPS.png,Size,Medium,SphereHairyPurpleMedium,SHPM.png
41,2,11,Pyramid,Metallic,Purple,Large,PyramidMetallicPurpleLarge,PMPL.png,Texture,Bumpy,PyramidBumpyPurpleLarge,PBPL.png
42,2,11,Cylinder,Bumpy,Blue,Tiny,CylinderBumpyBlueTiny,LBBT.png,Color,Red,CylinderBumpyRedTiny,LBRT.png
43,2,11,Cylinder,Hairy,Yellow,Medium,CylinderHairyYellowMedium,LHYM.png,Size,Tiny,CylinderHairyYellowTiny,LHYT.png
44,2,11,Pyramid,Metallic,Red,Large,PyramidMetallicRedLarge,PMRL.png,NoChange,NoChange,PyramidMetallicRedLarge,PMRL.png
45,2,12,Sphere,Chalky,Yellow,Medium,SphereChalkyYellowMedium,SCYM.png,Shape,Cylinder,CylinderChalkyYellowMedium,LCYM.png
46,2,12,Cube,Hairy,Red,Medium,CubeHairyRedMedium,CHRM.png,NoChange,NoChange,CubeHairyRedMedium,CHRM.png
47,2,12,Cube,Metallic,Blue,Tiny,CubeMetallicBlueTiny,CMBT.png,Color,Purple,CubeMetallicPurpleTiny,CMPT.png
48,2,12,Sphere,Hairy,Yellow,Small,SphereHairyYellowSmall,SHYS.png,Shape,Pyramid,PyramidHairyYellowSmall,PHYS.png
49,2,13,Pyramid,Chalky,Blue,Tiny,PyramidChalkyBlueTiny,PCBT.png,NoChange,NoChange,PyramidChalkyBlueTiny,PCBT.png
50,2,13,Sphere,Bumpy,Purple,Large,SphereBumpyPurpleLarge,SBPL.png,Texture,Hairy,SphereHairyPurpleLarge,SHPL.png
51,2,13,Pyramid,Metallic,Blue,Small,PyramidMetallicBlueSmall,PMBS.png,Size,Tiny,PyramidMetallicBlueTiny,PMBT.png
52,2,13,Cylinder,Bumpy,Red,Medium,CylinderBumpyRedMedium,LBRM.png,Color,Yellow,CylinderBumpyYellowMedium,LBYM.png
53,2,14,Cylinder,Chalky,Yellow,Large,CylinderChalkyYellowLarge,LCYL.png,Texture,Metallic,CylinderMetallicYellowLarge,LMYL.png
54,2,14,Sphere,Hairy,Blue,Large,SphereHairyBlueLarge,SHBL.png,NoChange,NoChange,SphereHairyBlueLarge,SHBL.png
55,2,14,Pyramid,Bumpy,Blue,Medium,PyramidBumpyBlueMedium,PBBM.png,Texture,Chalky,PyramidChalkyBlueMedium,PCBM.png
56,2,14,Pyramid,Hairy,Blue,Large,PyramidHairyBlueLarge,PHBL.png,Size,Medium,PyramidHairyBlueMedium,PHBM.png
57,2,15,Cube,Metallic,Purple,Large,CubeMetallicPurpleLarge,CMPL.png,NoChange,NoChange,CubeMetallicPurpleLarge,CMPL.png
58,2,15,Cube,Chalky,Red,Tiny,CubeChalkyRedTiny,CCRT.png,Shape,Sphere,SphereChalkyRedTiny,SCRT.png
59,2,15,Sphere,Hairy,Red,Tiny,SphereHairyRedTiny,SHRT.png,Texture,Metallic,SphereMetallicRedTiny,SMRT.png
60,2,15,Sphere,Metallic,Purple,Medium,SphereMetallicPurpleMedium,SMPM.png,Color,Yellow,SphereMetallicYellowMedium,SMYM.png
61,2,16,Pyramid,Bumpy,Purple,Small,PyramidBumpyPurpleSmall,PBPS.png,NoChange,NoChange,PyramidBumpyPurpleSmall,PBPS.png
62,2,16,Pyramid,Hairy,Purple,Medium,PyramidHairyPurpleMedium,PHPM.png,Size,Large,PyramidHairyPurpleLarge,PHPL.png
63,2,16,Sphere,Chalky,Red,Large,SphereChalkyRedLarge,SCRL.png,Color,Yellow,SphereChalkyYellowLarge,SCYL.png
64,2,16,Cylinder,Bumpy,Purple,Large,CylinderBumpyPurpleLarge,LBPL.png,Shape,Cube,CubeBumpyPurpleLarge,CBPL.png
1,3,1,Cube,Chalky,Purple,Tiny,CubeChalkyPurpleTiny,CCPT.png,Texture,Hairy,CubeHairyPurpleTiny,CHPT.png
2,3,1,Sphere,Metallic,Blue,Medium,SphereMetallicBlueMedium,SMBM.png,Shape,Cube,CubeMetallicBlueMedium,CMBM.png
3,3,1,Cylinder,Bumpy,Yellow,Small,CylinderBumpyYellowSmall,LBYS.png,NoChange,NoChange,CylinderBumpyYellowSmall,LBYS.png
4,3,1,Cube,Bumpy,Red,Large,CubeBumpyRedLarge,CBRL.png,Texture,Metallic,CubeMetallicRedLarge,CMRL.png
5,3,2,Pyramid,Hairy,Yellow,Tiny,PyramidHairyYellowTiny,PHYT.png,NoChange,NoChange,PyramidHairyYellowTiny,PHYT.png
6,3,2,Pyramid,Bumpy,Red,Tiny,PyramidBumpyRedTiny,PBRT.png,Size,Large,PyramidBumpyRedLarge,PBRL.png
7,3,2,Cube,Metallic,Red,Tiny,CubeMetallicRedTiny,CMRT.png,Color,Yellow,CubeMetallicPurpleTiny,CMPT.png
8,3,2,Cylinder,Hairy,Blue,Small,CylinderHairyBlueSmall,LHBS.png,Size,Medium,CylinderHairyBlueMedium,LHBM.png
9,3,3,Sphere,Chalky,Purple,Tiny,SphereChalkyPurpleTiny,SCPT.png,NoChange,NoChange,SphereChalkyPurpleTiny,SCPT.png
10,3,3,Cylinder,Hairy,Red,Tiny,CylinderHairyRedTiny,LHRT.png,Shape,Cube,CubeHairyRedTiny,CHRT.png
11,3,3,Sphere,Chalky,Blue,Tiny,SphereChalkyBlueTiny,SCBT.png,Texture,Bumpy,SphereBumpyBlueTiny,SBBT.png
12,3,3,Cube,Bumpy,Purple,Small,CubeBumpyPurpleSmall,CBPS.png,Size,Large,CubeBumpyPurpleLarge,CBPL.png
13,3,4,Cylinder,Chalky,Purple,Small,CylinderChalkyPurpleSmall,LCPS.png,Color,Red,CylinderChalkyRedSmall,LCRS.png
14,3,4,Sphere,Metallic,Yellow,Large,SphereMetallicYellowLarge,SMYL.png,NoChange,NoChange,SphereMetallicYellowLarge,SMYL.png
15,3,4,Cylinder,Metallic,Yellow,Tiny,CylinderMetallicYellowTiny,LMYT.png,Texture,Chalky,CylinderChalkyYellowTiny,LCYT.png
16,3,4,Cube,Chalky,Blue,Medium,CubeChalkyBlueMedium,CCBM.png,Shape,Pyramid,PyramidChalkyBlueMedium,PCBM.png
17,3,5,Cube,Hairy,Yellow,Large,CubeHairyYellowLarge,CHYL.png,Color,Purple,CubeHairyPurpleLarge,CHPL.png
18,3,5,Cylinder,Chalky,Red,Large,CylinderChalkyRedLarge,LCRL.png,NoChange,NoChange,CylinderChalkyRedLarge,LCRL.png
19,3,5,Sphere,Bumpy,Blue,Small,SphereBumpyBlueSmall,SBBS.png,Color,Red,SphereBumpyRedSmall,SBRS.png
20,3,5,Pyramid,Metallic,Yellow,Medium,PyramidMetallicYellowMedium,PMYM.png,Size,Tiny,PyramidMetallicYellowTiny,PMYT.png
21,3,6,Cube,Bumpy,Blue,Large,CubeBumpyBlueLarge,CBBL.png,NoChange,NoChange,CubeBumpyBlueLarge,CBBL.png
22,3,6,Cylinder,Metallic,Purple,Medium,CylinderMetallicPurpleMedium,LMPM.png,Color,Yellow,CylinderMetallicYellowMedium,LMYM.png
23,3,6,Sphere,Metallic,Red,Small,SphereMetallicRedSmall,SMRS.png,Texture,Hairy,SphereHairyRedSmall,SHRS.png
24,3,6,Pyramid,Chalky,Purple,Tiny,PyramidChalkyPurpleTiny,PCPT.png,Shape,Cylinder,CylinderChalkyPurpleTiny,LCPT.png
25,3,7,Cylinder,Hairy,Purple,Tiny,CylinderHairyPurpleTiny,LHPT.png,NoChange,NoChange,CylinderHairyPurpleTiny,LHPT.png
26,3,7,Cube,Hairy,Blue,Small,CubeHairyBlueSmall,CHBS.png,Size,Tiny,CubeHairyBlueTiny,CHBT.png
27,3,7,Cube,Metallic,Yellow,Tiny,CubeMetallicYellowTiny,CMYT.png,Texture,Chalky,CubeChalkyYellowTiny,CCYT.png
28,3,7,Pyramid,Bumpy,Yellow,Small,PyramidBumpyYellowSmall,PBYS.png,Shape,Cube,CubeBumpyYellowSmall,CBYS.png
29,3,8,Pyramid,Hairy,Red,Medium,PyramidHairyRedMedium,PHRM.png,Color,Blue,PyramidHairyBlueMedium,PHBM.png
30,3,8,Cylinder,Metallic,Blue,Medium,CylinderMetallicBlueMedium,LMBM.png,NoChange,NoChange,CylinderMetallicBlueMedium,LMBM.png
31,3,8,Cylinder,Chalky,Blue,Large,CylinderChalkyBlueLarge,LCBL.png,Size,Small,CylinderChalkyBlueSmall,LCBS.png
32,3,8,Cube,Hairy,Purple,Medium,CubeHairyPurpleMedium,CHPM.png,Shape,Cylinder,CylinderHairyPurpleMedium,LHPM.png
33,3,9,Sphere,Bumpy,Yellow,Tiny,SphereBumpyYellowTiny,SBYT.png,Size,Medium,SphereBumpyYellowMedium,SBYM.png
34,3,9,Pyramid,Chalky,Red,Small,PyramidChalkyRedSmall,PCRS.png,Shape,Sphere,SphereChalkyRedSmall,SCRS.png
35,3,9,Cube,Chalky,Yellow,Small,CubeChalkyYellowSmall,CCYS.png,NoChange,NoChange,CubeChalkyYellowSmall,CCYS.png
36,3,9,Cylinder,Metallic,Red,Small,CylinderMetallicRedSmall,LMRS.png,Texture,Hairy,CylinderHairyRedSmall,LHRS.png
37,3,10,Pyramid,Chalky,Yellow,Large,PyramidChalkyYellowLarge,PCYL.png,Size,Medium,PyramidChalkyYellowMedium,PCYM.png
38,3,10,Cube,Metallic,Yellow,Medium,CubeMetallicYellowMedium,CMYM.png,Color,Red,CubeMetallicRedMedium,CMRM.png
39,3,10,Sphere,Bumpy,Red,Medium,SphereBumpyRedMedium,SBRM.png,NoChange,NoChange,SphereBumpyRedMedium,SBRM.png
40,3,10,Sphere,Hairy,Purple,Small,SphereHairyPurpleSmall,SHPS.png,Texture,Metallic,SphereMetallicPurpleSmall,SMPS.png
41,3,11,Pyramid,Metallic,Purple,Large,PyramidMetallicPurpleLarge,PMPL.png,Color,Blue,PyramidMetallicBlueLarge,PMBL.png
42,3,11,Cylinder,Bumpy,Blue,Tiny,CylinderBumpyBlueTiny,LBBT.png,Shape,Cube,CubeBumpyBlueTiny,CBBT.png
43,3,11,Cylinder,Hairy,Yellow,Medium,CylinderHairyYellowMedium,LHYM.png,Texture,Bumpy,CylinderBumpyYellowMedium,LBYM.png
44,3,11,Pyramid,Metallic,Red,Large,PyramidMetallicRedLarge,PMRL.png,NoChange,NoChange,PyramidMetallicRedLarge,PMRL.png
