ItemNumb,ListID,BlockID,Shape,Texture,Color,Size,OGItemID,OGFile,ChangeType,Change,ChangeItemID,ChangeFile
22,4,6,Cylinder,Metallic,Purple,Medium,CylinderMetallicPurpleMedium,LMPM.png,Shape,Pyramid,PyramidMetallicPurpleMedium,PMPM.png
23,4,6,Sphere,Metallic,Red,Small,SphereMetallicRedSmall,SMRS.png,Color,Purple,SphereMetallicPurpleSmall,SMPS.png
24,4,6,Pyramid,Chalky,Purple,Tiny,PyramidChalkyPurpleTiny,PCPT.png,Size,Medium,PyramidChalkyPurpleMedium,PCPM.png
25,4,7,Cylinder,Hairy,Purple,Tiny,CylinderHairyPurpleTiny,LHPT.png,NoChange,NoChange,CylinderHairyPurpleTiny,LHPT.png
26,4,7,Cube,Hairy,Blue,Small,CubeHairyBlueSmall,CHBS.png,Texture,Metallic,CubeMetallicBlueSmall,CMBS.png
27,4,7,Cube,Metallic,Yellow,Tiny,CubeMetallicYellowTiny,CMYT.png,Color,Red,CubeMetallicRedTiny,CMRT.png
28,4,7,Pyramid,Bumpy,Yellow,Small,PyramidBumpyYellowSmall,PBYS.png,Size,Large,PyramidBumpyYellowLarge,PBYL.png
29,4,8,Pyramid,Hairy,Red,Medium,PyramidHairyRedMedium,PHRM.png,Shape,Cylinder,CylinderHairyRedMedium,LHRM.png
30,4,8,Cylinder,Metallic,Blue,Medium,CylinderMetallicBlueMedium,LMBM.png,NoChange,NoChange,CylinderMetallicBlueMedium,LMBM.png
31,4,8,Cylinder,Chalky,Blue,Large,CylinderChalkyBlueLarge,LCBL.png,Texture,Hairy,CylinderHairyBlueLarge,LHBL.png
32,4,8,Cube,Hairy,Purple,Medium,CubeHairyPurpleMedium,CHPM.png,Size,Large,CubeHairyPurpleLarge,CHPL.png
33,4,9,Sphere,Bumpy,Yellow,Tiny,SphereBumpyYellowTiny,SBYT.png,Texture,Metallic,SphereMetallicYellowTiny,SMYT.png
34,4,9,Pyramid,Chalky,Red,Small,PyramidChalkyRedSmall,PCRS.png,Size,Tiny,PyramidChalkyRedTiny,PCRT.png
35,4,9,Cube,Chalky,Yellow,Small,CubeChalkyYellowSmall,CCYS.png,NoChange,NoChange,CubeChalkyYellowSmall,CCYS.png
36,4,9,Cylinder,Metallic,Red,Small,CylinderMetallicRedSmall,LMRS.png,Color,Yellow,CylinderMetallicYellowSmall,LMYS.png
37,4,10,Pyramid,Chalky,Yellow,Large,PyramidChalkyYellowLarge,PCYL.png,Texture,Metallic,PyramidMetallicYellowLarge,PMYL.png
38,4,10,Cube,Metallic,Yellow,Medium,CubeMetallicYellowMedium,CMYM.png,Shape,Sphere,SphereMetallicYellowMedium,SMYM.png
39,4,10,Sphere,Bumpy,Red,Medium,SphereBumpyRedMedium,SBRM.png,NoChange,NoChange,SphereBumpyRedMedium,SBRM.png
40,4,10,Sphere,Hairy,Purple,Small,SphereHairyPurpleSmall,SHPS.png,Color,Red,SphereHairyRedSmall,SHRS.png
41,4,11,Pyramid,Metallic,Purple,Large,PyramidMetallicPurpleLarge,PMPL.png,Shape,Sphere,SphereMetallicPurpleLarge,SMPL.png
42,4,11,Cylinder,Bumpy,Blue,Tiny,CylinderBumpyBlueTiny,LBBT.png,Size,Large,CylinderBumpyBlueLarge,LBBL.png
43,4,11,Cylinder,Hairy,Yellow,Medium,CylinderHairyYellowMedium,LHYM.png,Color,Blue,CylinderHairyBlueMedium,LHBM.png
44,4,11,Pyramid,Metallic,Red,Large,PyramidMetallicRedLarge,PMRL.png,NoChange,NoChange,PyramidMetallicRedLarge,PMRL.png
45,4,12,Sphere,Chalky,Yellow,Medium,SphereChalkyYellowMedium,SCYM.png,Texture,Bumpy,SphereBumpyYellowMedium,SBYM.png
46,4,12,Cube,Hairy,Red,Medium,CubeHairyRedMedium,CHRM.png,NoChange,NoChange,CubeHairyRedMedium,CHRM.png
47,4,12,Cube,Metallic,Blue,Tiny,CubeMetallicBlueTiny,CMBT.png,Size,Medium,CubeMetallicBlueMedium,CMBM.png
48,4,12,Sphere,Hairy,Yellow,Small,SphereHairyYellowSmall,SHYS.png,Texture,Chalky,SphereChalkyYellowSmall,SCYS.png
49,4,13,Pyramid,Chalky,Blue,Tiny,PyramidChalkyBlueTiny,PCBT.png,NoChange,NoChange,PyramidChalkyBlueTiny,PCBT.png
50,4,13,Sphere,Bumpy,Purple,Large,SphereBumpyPurpleLarge,SBPL.png,Shape,Pyramid,PyramidBumpyPurpleLarge,PBPL.png
51,4,13,Pyramid,Metallic,Blue,Small,PyramidMetallicBlueSmall,PMBS.png,Color,Red,PyramidMetallicRedSmall,PMRS.png
52,4,13,Cylinder,Bumpy,Red,Medium,CylinderBumpyRedMedium,LBRM.png,Size,Tiny,CylinderBumpyRedTiny,LBRT.png
53,4,14,Cylinder,Chalky,Yellow,Large,CylinderChalkyYellowLarge,LCYL.png,Shape,Pyramid,PyramidChalkyYellowLarge,PCYL.png
54,4,14,Sphere,Hairy,Blue,Large,SphereHairyBlueLarge,SHBL.png,NoChange,NoChange,SphereHairyBlueLarge,SHBL.png
55,4,14,Pyramid,Bumpy,Blue,Medium,PyramidBumpyBlueMedium,PBBM.png,Shape,Cube,CubeBumpyBlueMedium,CBBM.png
56,4,14,Pyramid,Hairy,Blue,Large,PyramidHairyBlueLarge,PHBL.png,Color,Purple,PyramidHairyPurpleLarge,PHPL.png
57,4,15,Cube,Metallic,Purple,Large,CubeMetallicPurpleLarge,CMPL.png,NoChange,NoChange,CubeMetallicPurpleLarge,CMPL.png
58,4,15,Cube,Chalky,Red,Tiny,CubeChalkyRedTiny,CCRT.png,Texture,Bumpy,CubeBumpyRedTiny,CBRT.png
59,4,15,Sphere,Hairy,Red,Tiny,SphereHairyRedTiny,SHRT.png,Shape,Cube,CubeHairyRedTiny,CHRT.png
60,4,15,Sphere,Metallic,Purple,Medium,SphereMetallicPurpleMedium,SMPM.png,Size,Tiny,SphereMetallicPurpleTiny,SMPT.png
61,4,16,Pyramid,Bumpy,Purple,Small,PyramidBumpyPurpleSmall,PBPS.png,NoChange,NoChange,PyramidBumpyPurpleSmall,PBPS.png
62,4,16,Pyramid,Hairy,Purple,Medium,PyramidHairyPurpleMedium,PHPM.png,Color,Yellow,PyramidHairyYellowMedium,PHYM.png
63,4,16,Sphere,Chalky,Red,Large,SphereChalkyRedLarge,SCRL.png,Size,Small,SphereChalkyRedSmall,SCRS.png
64,4,16,Cylinder,Bumpy,Purple,Large,CylinderBumpyPurpleLarge,LBPL.png,Texture,Chalky,CylinderChalkyPurpleLarge,LCPL.png
